Magasin,PDV,Numéro d'équipe,Heure d'ouverture de quart de travail,Ouverture du service,Heure de fermeture de quart de travail,Le service est fermé,Espèces de départ,Règlement en espèces,Remboursements en espèces,Montant paiement entrant,Montant paiement sortant,Montant en espèces prévu,Montant en espèces réel,Différence
Esprit Sushi Fribourg,SamsungA40,322,20/08/2021 14:44,Propriétaire,20/08/2021 22:24,Propriétaire,412.00,180.00,0.00,0.00,0.00,592.00,592.00,0.00
Esprit Sushi Fribourg,SamsungA40,321,19/08/2021 17:45,Propriétaire,20/08/2021 14:39,Propriétaire,335.00,77.00,0.00,0.00,0.00,412.00,412.00,0.00
Esprit Sushi Fribourg,Caisse principal 3,757,18/08/2021 16:10,Propriétaire,19/08/2021 23:19,Propriétaire,260.00,129.00,0.00,0.00,0.00,389.00,389.00,0.00
Esprit Sushi Fribourg,SamsungA40,320,18/08/2021 16:08,Propriétaire,18/08/2021 21:46,Propriétaire,272.00,63.00,0.00,0.00,0.00,335.00,335.00,0.00
Esprit Sushi Fribourg,Caisse principal 3,756,29/06/2021 15:51,Propriétaire,18/08/2021 16:10,Propriétaire,270.00,319.50,0.00,0.00,3.50,586.00,586.00,0.00
Esprit Sushi Fribourg,SamsungA40,319,18/08/2021 16:07,Propriétaire,18/08/2021 16:08,Propriétaire,292.00,0.00,0.00,0.00,0.00,292.00,292.00,0.00
Esprit Sushi Fribourg,SamsungA40,318,17/08/2021 13:49,Propriétaire,18/08/2021 16:07,Propriétaire,256.00,0.00,0.00,0.00,0.00,256.00,256.00,0.00
Esprit Sushi Fribourg,SamsungA40,317,11/07/2021 18:00,Propriétaire,11/07/2021 22:20,Propriétaire,502.95,58.50,0.00,0.00,0.00,561.45,561.45,0.00
Esprit Sushi Fribourg,SamsungA40,316,10/07/2021 18:00,Propriétaire,10/07/2021 21:48,Propriétaire,412.95,90.00,0.00,0.00,0.00,502.95,502.95,0.00
Esprit Sushi Fribourg,SamsungA40,315,09/07/2021 17:49,Propriétaire,09/07/2021 21:29,Propriétaire,365.70,47.25,0.00,0.00,0.00,412.95,412.95,0.00
Esprit Sushi Fribourg,SamsungA40,314,08/07/2021 18:13,Propriétaire,08/07/2021 21:04,Propriétaire,289.30,76.40,0.00,0.00,0.00,365.70,365.70,0.00
Esprit Sushi Fribourg,SamsungA40,313,07/07/2021 17:57,Propriétaire,07/07/2021 21:16,Propriétaire,719.10,21.70,0.00,0.00,451.50,289.30,289.30,0.00
Esprit Sushi Fribourg,SamsungA40,312,04/07/2021 17:58,Propriétaire,04/07/2021 22:22,Propriétaire,555.10,164.00,0.00,0.00,0.00,719.10,719.10,0.00
Esprit Sushi Fribourg,SamsungA40,311,03/07/2021 17:52,Propriétaire,03/07/2021 22:08,Propriétaire,473.60,81.50,0.00,0.00,0.00,555.10,555.10,0.00
Esprit Sushi Fribourg,SamsungA40,310,02/07/2021 18:00,Propriétaire,02/07/2021 21:36,Propriétaire,412.70,60.90,0.00,0.00,0.00,473.60,473.60,0.00
Esprit Sushi Fribourg,SamsungA40,309,30/06/2021 18:02,Propriétaire,01/07/2021 21:31,Propriétaire,412.70,0.00,0.00,0.00,0.00,412.70,412.70,0.00
Esprit Sushi Fribourg,SamsungA40,308,29/06/2021 15:51,Propriétaire,29/06/2021 21:33,Propriétaire,282.30,130.40,0.00,0.00,0.00,412.70,412.70,0.00
Esprit Sushi Fribourg,SamsungA40,307,29/06/2021 15:47,Propriétaire,29/06/2021 15:50,Propriétaire,482.30,0.00,0.00,0.00,200.00,282.30,282.30,0.00
Esprit Sushi Fribourg,Caisse principal 3,755,22/06/2021 17:44,Propriétaire,28/06/2021 12:26,Propriétaire,516.50,223.50,0.00,700.00,1170.00,270.00,270.00,0.00
Esprit Sushi Fribourg,SamsungA40,306,27/06/2021 18:00,Propriétaire,27/06/2021 21:35,Propriétaire,1057.80,124.50,0.00,0.00,700.00,482.30,482.30,0.00
Esprit Sushi Fribourg,SamsungA40,305,26/06/2021 18:21,Propriétaire,26/06/2021 21:35,Propriétaire,971.90,88.90,0.00,0.00,3.00,1057.80,1057.80,0.00
Esprit Sushi Fribourg,SamsungA40,304,25/06/2021 17:48,Propriétaire,25/06/2021 21:57,Propriétaire,756.90,299.30,84.40,0.00,0.00,971.80,971.80,0.00
Esprit Sushi Fribourg,SamsungA40,303,24/06/2021 20:00,Propriétaire,24/06/2021 21:34,Propriétaire,635.85,121.00,0.00,0.00,0.00,756.85,756.85,0.00
Esprit Sushi Fribourg,SamsungA40,302,23/06/2021 18:00,Propriétaire,23/06/2021 21:31,Propriétaire,485.50,150.35,0.00,0.00,0.00,635.85,635.85,0.00
Esprit Sushi Fribourg,SamsungA40,301,22/06/2021 16:17,Propriétaire,22/06/2021 21:40,Propriétaire,855.00,30.50,0.00,0.00,400.00,485.50,485.50,0.00
Esprit Sushi Fribourg,Caisse principal 3,754,08/06/2021 16:49,Propriétaire,21/06/2021 14:11,Propriétaire,331.70,485.90,0.00,500.00,1001.10,316.50,316.50,0.00
Esprit Sushi Fribourg,SamsungA40,300,19/06/2021 17:46,Propriétaire,20/06/2021 20:54,Propriétaire,651.00,204.00,0.00,0.00,0.00,855.00,855.00,0.00
Esprit Sushi Fribourg,SamsungA40,299,18/06/2021 17:51,Propriétaire,18/06/2021 20:32,Propriétaire,605.50,45.50,0.00,0.00,0.00,651.00,651.00,0.00
Esprit Sushi Fribourg,SamsungA40,298,17/06/2021 18:05,Propriétaire,17/06/2021 21:31,Propriétaire,500.50,105.00,0.00,0.00,0.00,605.50,605.50,0.00
Esprit Sushi Fribourg,SamsungA40,297,16/06/2021 17:49,Propriétaire,16/06/2021 21:54,Propriétaire,439.00,61.50,0.00,0.00,0.00,500.50,500.50,0.00
Esprit Sushi Fribourg,SamsungA40,296,15/06/2021 17:59,Propriétaire,15/06/2021 22:01,Propriétaire,328.10,110.90,0.00,0.00,0.00,439.00,439.00,0.00
Esprit Sushi Fribourg,SamsungA40,295,12/06/2021 19:27,Propriétaire,12/06/2021 21:47,Propriétaire,576.20,151.90,0.00,0.00,400.00,328.10,328.10,0.00
Esprit Sushi Fribourg,SamsungA40,294,11/06/2021 18:14,Propriétaire,11/06/2021 21:06,Propriétaire,494.30,81.90,0.00,0.00,0.00,576.20,576.20,0.00
Esprit Sushi Fribourg,SamsungA40,293,10/06/2021 18:36,Propriétaire,10/06/2021 21:30,Propriétaire,403.90,90.40,0.00,0.00,0.00,494.30,494.30,0.00
Esprit Sushi Fribourg,SamsungA40,292,08/06/2021 18:04,Propriétaire,09/06/2021 21:09,Propriétaire,375.90,28.00,0.00,0.00,0.00,403.90,403.90,0.00
Esprit Sushi Fribourg,Caisse principal 3,753,18/05/2021 19:05,Propriétaire,07/06/2021 17:50,Propriétaire,506.90,1544.80,0.00,2500.00,4220.00,331.70,331.70,0.00
Esprit Sushi Fribourg,SamsungA40,291,06/06/2021 18:06,Propriétaire,06/06/2021 21:11,Propriétaire,570.50,105.40,0.00,0.00,300.00,375.90,375.90,0.00
Esprit Sushi Fribourg,SamsungA40,290,05/06/2021 17:54,Propriétaire,05/06/2021 22:32,Propriétaire,810.50,64.50,0.00,0.00,304.50,570.50,570.50,0.00
Esprit Sushi Fribourg,SamsungA40,289,04/06/2021 17:49,Propriétaire,04/06/2021 22:10,Propriétaire,615.00,195.50,0.00,0.00,0.00,810.50,810.50,0.00
Esprit Sushi Fribourg,SamsungA40,288,03/06/2021 18:08,Propriétaire,03/06/2021 21:37,Propriétaire,615.00,0.00,0.00,0.00,0.00,615.00,615.00,0.00
Esprit Sushi Fribourg,SamsungA40,287,01/06/2021 18:08,Propriétaire,02/06/2021 21:33,Propriétaire,371.80,243.20,0.00,0.00,0.00,615.00,615.00,0.00
Esprit Sushi Fribourg,SamsungA40,286,31/05/2021 11:42,Propriétaire,31/05/2021 11:45,Propriétaire,721.80,0.00,0.00,0.00,350.00,371.80,371.80,0.00
Esprit Sushi Fribourg,SamsungA40,285,30/05/2021 18:00,Propriétaire,30/05/2021 20:59,Propriétaire,694.80,27.00,0.00,0.00,0.00,721.80,721.80,0.00
Esprit Sushi Fribourg,SamsungA40,284,29/05/2021 17:56,Propriétaire,29/05/2021 22:10,Propriétaire,536.00,158.80,0.00,0.00,0.00,694.80,694.80,0.00
Esprit Sushi Fribourg,SamsungA40,283,28/05/2021 18:02,Propriétaire,28/05/2021 22:29,Propriétaire,455.50,80.50,0.00,0.00,0.00,536.00,536.00,0.00
Esprit Sushi Fribourg,SamsungA40,282,27/05/2021 17:56,Propriétaire,27/05/2021 21:27,Propriétaire,673.90,231.60,0.00,0.00,450.00,455.50,455.50,0.00
Esprit Sushi Fribourg,SamsungA40,281,25/05/2021 18:04,Propriétaire,26/05/2021 22:01,Propriétaire,478.00,195.90,0.00,0.00,0.00,673.90,673.90,0.00
Esprit Sushi Fribourg,SamsungA40,280,23/05/2021 18:02,Propriétaire,23/05/2021 21:29,Propriétaire,581.00,97.00,0.00,0.00,200.00,478.00,478.00,0.00
Esprit Sushi Fribourg,SamsungA40,279,22/05/2021 17:58,Propriétaire,22/05/2021 21:40,Propriétaire,1725.00,106.00,0.00,0.00,1250.00,581.00,581.00,0.00
Esprit Sushi Fribourg,SamsungA40,278,21/05/2021 18:04,Propriétaire,21/05/2021 21:33,Propriétaire,1303.65,420.80,0.00,0.00,0.00,1724.45,1724.45,0.00
Esprit Sushi Fribourg,SamsungA40,277,20/05/2021 17:57,Propriétaire,20/05/2021 21:54,Propriétaire,1212.20,89.45,0.00,2.00,0.00,1303.65,1303.65,0.00
Esprit Sushi Fribourg,SamsungA40,276,18/05/2021 18:31,Propriétaire,19/05/2021 21:42,Propriétaire,1051.20,159.50,0.00,0.00,0.00,1210.70,1210.70,0.00
Esprit Sushi Fribourg,Caisse principal 3,752,30/04/2021 17:21,Propriétaire,16/05/2021 23:28,Propriétaire,763.60,1082.30,9.00,750.00,2080.00,506.90,506.90,0.00
Esprit Sushi Fribourg,SamsungA40,275,16/05/2021 17:52,Propriétaire,16/05/2021 22:20,Propriétaire,743.80,307.40,0.00,0.00,0.00,1051.20,1051.20,0.00
Esprit Sushi Fribourg,SamsungA40,274,15/05/2021 17:56,Propriétaire,15/05/2021 22:37,Propriétaire,682.90,60.90,0.00,0.00,0.00,743.80,743.80,0.00
Esprit Sushi Fribourg,SamsungA40,273,14/05/2021 17:56,Propriétaire,14/05/2021 21:48,Propriétaire,518.00,164.90,0.00,0.00,0.00,682.90,682.90,0.00
Esprit Sushi Fribourg,SamsungA40,272,13/05/2021 17:57,Propriétaire,13/05/2021 22:21,Propriétaire,646.50,71.50,0.00,0.00,200.00,518.00,518.00,0.00
Esprit Sushi Fribourg,SamsungA40,271,12/05/2021 18:02,Propriétaire,13/05/2021 17:57,Propriétaire,646.50,0.00,0.00,0.00,0.00,646.50,646.50,0.00
Esprit Sushi Fribourg,SamsungA40,270,11/05/2021 18:18,Propriétaire,11/05/2021 21:51,Propriétaire,550.00,96.50,0.00,0.00,0.00,646.50,646.50,0.00
Esprit Sushi Fribourg,SamsungA40,269,09/05/2021 18:07,Propriétaire,09/05/2021 22:03,Propriétaire,1014.00,86.00,0.00,0.00,550.00,550.00,550.00,0.00
Esprit Sushi Fribourg,SamsungA40,268,08/05/2021 17:54,Propriétaire,08/05/2021 21:02,Propriétaire,965.00,49.00,0.00,0.00,0.00,1014.00,1014.00,0.00
Esprit Sushi Fribourg,SamsungA40,267,06/05/2021 19:28,Propriétaire,07/05/2021 22:14,Propriétaire,641.70,328.90,0.00,0.00,5.60,965.00,965.00,0.00
Esprit Sushi Fribourg,SamsungA40,266,04/05/2021 16:11,Propriétaire,05/05/2021 21:54,Propriétaire,789.30,252.40,0.00,0.00,400.00,641.70,641.70,0.00
Esprit Sushi Fribourg,SamsungA40,265,02/05/2021 17:49,Propriétaire,02/05/2021 21:22,Propriétaire,580.40,208.90,0.00,0.00,0.00,789.30,789.30,0.00
Esprit Sushi Fribourg,SamsungA40,264,30/04/2021 17:57,Propriétaire,30/04/2021 22:02,Propriétaire,461.20,119.20,0.00,0.00,0.00,580.40,580.40,0.00
Esprit Sushi Fribourg,Caisse principal 3,751,20/04/2021 20:00,Propriétaire,29/04/2021 22:03,Propriétaire,383.90,581.70,0.00,1100.00,1302.00,763.60,763.60,0.00
Esprit Sushi Fribourg,SamsungA40,263,29/04/2021 17:47,Propriétaire,29/04/2021 21:31,Propriétaire,686.30,124.90,0.00,0.00,350.00,461.20,461.20,0.00
Esprit Sushi Fribourg,SamsungA40,262,28/04/2021 17:57,Propriétaire,28/04/2021 21:44,Propriétaire,504.00,182.30,0.00,0.00,0.00,686.30,686.30,0.00
Esprit Sushi Fribourg,SamsungA40,261,27/04/2021 18:08,Propriétaire,27/04/2021 21:35,Propriétaire,422.50,81.50,0.00,0.00,0.00,504.00,504.00,0.00
Esprit Sushi Fribourg,SamsungA40,260,25/04/2021 17:52,Propriétaire,25/04/2021 21:48,Propriétaire,627.00,145.50,0.00,0.00,350.00,422.50,422.50,0.00
Esprit Sushi Fribourg,SamsungA40,259,23/04/2021 18:05,Propriétaire,23/04/2021 21:30,Propriétaire,535.50,91.50,0.00,0.00,0.00,627.00,627.00,0.00
Esprit Sushi Fribourg,SamsungA40,258,22/04/2021 18:00,Propriétaire,22/04/2021 21:30,Propriétaire,889.00,46.50,0.00,0.00,400.00,535.50,535.50,0.00
Esprit Sushi Fribourg,SamsungA40,257,21/04/2021 18:12,Propriétaire,21/04/2021 21:56,Propriétaire,787.60,101.40,0.00,0.00,0.00,889.00,889.00,0.00
Esprit Sushi Fribourg,SamsungA40,256,20/04/2021 18:13,Propriétaire,20/04/2021 21:41,Propriétaire,733.10,54.50,0.00,0.00,0.00,787.60,787.60,0.00
Esprit Sushi Fribourg,Caisse principal 3,750,16/04/2021 17:28,Propriétaire,19/04/2021 12:44,Propriétaire,400.90,264.50,0.00,0.00,281.50,383.90,383.90,0.00
Esprit Sushi Fribourg,SamsungA40,255,18/04/2021 17:54,Propriétaire,18/04/2021 21:02,Propriétaire,578.60,154.50,0.00,0.00,0.00,733.10,733.10,0.00
Esprit Sushi Fribourg,SamsungA40,254,17/04/2021 17:59,Propriétaire,17/04/2021 21:54,Propriétaire,550.60,28.00,0.00,0.00,0.00,578.60,578.60,0.00
Esprit Sushi Fribourg,SamsungA40,253,16/04/2021 18:34,Propriétaire,16/04/2021 22:05,Propriétaire,471.10,79.50,0.00,0.00,0.00,550.60,550.60,0.00
Esprit Sushi Fribourg,Caisse principal 3,749,15/04/2021 17:34,Propriétaire,16/04/2021 17:28,Propriétaire,378.90,81.90,59.90,0.00,0.00,400.90,400.90,0.00
Esprit Sushi Fribourg,SamsungA40,252,13/04/2021 17:24,Propriétaire,15/04/2021 22:00,Propriétaire,775.70,116.40,0.00,0.00,421.00,471.10,471.10,0.00
Esprit Sushi Fribourg,Caisse principal 3,748,13/04/2021 18:40,Propriétaire,14/04/2021 22:34,Propriétaire,285.40,72.50,0.00,21.00,0.00,378.90,378.90,0.00
Esprit Sushi Fribourg,Caisse principal 3,747,11/04/2021 17:48,Propriétaire,11/04/2021 22:41,Propriétaire,0.00,178.90,0.00,606.50,500.00,285.40,285.40,0.00
Esprit Sushi Fribourg,SamsungA40,251,11/04/2021 17:57,Propriétaire,11/04/2021 21:43,Propriétaire,735.70,40.00,0.00,0.00,0.00,775.70,775.70,0.00
Esprit Sushi Fribourg,Caisse principal 3,746,10/04/2021 17:48,Propriétaire,10/04/2021 22:06,Propriétaire,606.50,0.00,0.00,0.00,0.00,606.50,606.50,0.00
Esprit Sushi Fribourg,SamsungA40,250,10/04/2021 17:50,Propriétaire,10/04/2021 21:33,Propriétaire,735.70,0.00,0.00,0.00,0.00,735.70,735.70,0.00
Esprit Sushi Fribourg,Caisse principal 3,745,09/04/2021 16:30,Propriétaire,09/04/2021 22:41,Propriétaire,523.00,83.50,0.00,0.00,0.00,606.50,606.50,0.00
Esprit Sushi Fribourg,SamsungA40,249,09/04/2021 17:47,Propriétaire,09/04/2021 22:34,Propriétaire,664.20,71.50,0.00,0.00,0.00,735.70,735.70,0.00
Esprit Sushi Fribourg,Caisse principal 3,744,06/04/2021 17:09,Propriétaire,08/04/2021 22:58,Propriétaire,408.50,114.50,0.00,0.00,0.00,523.00,523.00,0.00
Esprit Sushi Fribourg,SamsungA40,248,08/04/2021 17:59,Propriétaire,08/04/2021 21:29,Propriétaire,484.30,179.90,0.00,0.00,0.00,664.20,664.20,0.00
Esprit Sushi Fribourg,SamsungA40,247,07/04/2021 18:09,Propriétaire,07/04/2021 22:03,Propriétaire,380.30,104.00,0.00,0.00,0.00,484.30,484.30,0.00
Esprit Sushi Fribourg,SamsungA40,246,06/04/2021 18:08,Propriétaire,07/04/2021 18:09,Propriétaire,358.30,128.90,106.40,36.50,36.50,380.80,380.80,0.00
Esprit Sushi Fribourg,Caisse principal 3,743,02/04/2021 16:15,Propriétaire,06/04/2021 17:09,Propriétaire,758.50,40.00,0.00,0.00,390.00,408.50,408.50,0.00
Esprit Sushi Fribourg,SamsungA40,245,05/04/2021 20:25,Propriétaire,05/04/2021 20:30,Propriétaire,1108.30,0.00,0.00,0.00,750.00,358.30,358.30,0.00
Esprit Sushi Fribourg,SamsungA40,244,02/04/2021 17:32,Propriétaire,02/04/2021 22:12,Propriétaire,719.00,466.70,77.40,0.00,0.00,1108.30,1108.30,0.00
Esprit Sushi Fribourg,Caisse principal 3,742,02/04/2021 16:14,Propriétaire,02/04/2021 16:15,Propriétaire,798.50,0.00,0.00,0.00,0.00,798.50,798.50,0.00
Esprit Sushi Fribourg,Caisse principal 3,741,31/03/2021 13:54,Propriétaire,01/04/2021 23:53,Propriétaire,399.60,342.50,0.00,60.00,50.00,752.10,752.10,0.00
Esprit Sushi Fribourg,SamsungA40,243,01/04/2021 17:59,Propriétaire,01/04/2021 21:39,Propriétaire,575.00,144.00,0.00,0.00,0.00,719.00,719.00,0.00
Esprit Sushi Fribourg,SamsungA40,242,30/03/2021 22:20,Propriétaire,31/03/2021 21:48,Propriétaire,415.70,233.90,63.00,0.00,11.60,575.00,575.00,0.00
Esprit Sushi Fribourg,Caisse principal 3,740,30/03/2021 16:14,Propriétaire,30/03/2021 23:04,Propriétaire,387.60,12.00,0.00,0.00,0.00,399.60,399.60,0.00
Esprit Sushi Fribourg,SamsungA40,241,30/03/2021 18:07,Propriétaire,30/03/2021 22:19,Propriétaire,382.70,33.00,0.00,0.00,0.00,415.70,415.70,0.00
Esprit Sushi Fribourg,SamsungA40,240,30/03/2021 16:14,Propriétaire,30/03/2021 16:15,Propriétaire,482.70,0.00,0.00,0.00,100.00,382.70,382.70,0.00
Esprit Sushi Fribourg,Caisse principal 3,739,28/03/2021 16:38,Propriétaire,30/03/2021 16:14,Propriétaire,992.60,15.00,0.00,300.00,920.00,387.60,387.60,0.00
Esprit Sushi Fribourg,SamsungA40,239,28/03/2021 17:54,Propriétaire,28/03/2021 22:17,Propriétaire,747.20,35.50,0.00,0.00,300.00,482.70,482.70,0.00
Esprit Sushi Fribourg,Caisse principal 3,738,27/03/2021 17:40,Propriétaire,27/03/2021 22:40,Propriétaire,0.00,77.50,0.00,935.10,20.00,992.60,992.60,0.00
Esprit Sushi Fribourg,SamsungA40,238,27/03/2021 18:01,Propriétaire,27/03/2021 21:41,Propriétaire,423.50,325.70,0.00,0.00,2.00,747.20,747.20,0.00
Esprit Sushi Fribourg,Caisse principal 3,737,26/03/2021 17:59,Propriétaire,27/03/2021 00:41,Propriétaire,370.90,97.40,13.20,500.00,20.00,935.10,935.10,0.00
Esprit Sushi Fribourg,SamsungA40,237,26/03/2021 17:45,Propriétaire,26/03/2021 22:03,Propriétaire,703.60,219.90,0.00,0.00,500.00,423.50,423.50,0.00
Esprit Sushi Fribourg,Caisse principal 3,736,25/03/2021 17:16,Propriétaire,26/03/2021 17:59,Propriétaire,353.90,17.00,0.00,0.00,0.00,370.90,370.90,0.00
Esprit Sushi Fribourg,SamsungA40,236,25/03/2021 17:59,Propriétaire,25/03/2021 21:30,Propriétaire,656.10,47.50,0.00,0.00,0.00,703.60,703.60,0.00
Esprit Sushi Fribourg,Caisse principal 3,735,23/03/2021 16:46,Propriétaire,24/03/2021 22:59,Propriétaire,310.40,43.50,0.00,0.00,0.00,353.90,353.90,0.00
Esprit Sushi Fribourg,SamsungA40,235,24/03/2021 18:33,Propriétaire,24/03/2021 21:53,Propriétaire,571.60,84.50,0.00,0.00,0.00,656.10,656.10,0.00
Esprit Sushi Fribourg,SamsungA40,234,24/03/2021 18:33,Propriétaire,24/03/2021 18:33,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Esprit Sushi Fribourg,SamsungA40,233,23/03/2021 18:04,Propriétaire,24/03/2021 18:33,Propriétaire,417.60,154.00,0.00,0.00,0.00,571.60,571.60,0.00
Esprit Sushi Fribourg,Caisse principal 3,734,21/03/2021 17:33,Propriétaire,21/03/2021 22:32,Propriétaire,0.00,223.50,0.00,1286.90,1200.00,310.40,310.40,0.00
Esprit Sushi Fribourg,SamsungA40,232,21/03/2021 17:42,Propriétaire,21/03/2021 21:32,Propriétaire,982.00,135.60,0.00,0.00,700.00,417.60,417.60,0.00
Esprit Sushi Fribourg,Caisse principal 3,733,16/03/2021 16:45,Propriétaire,20/03/2021 22:04,Propriétaire,375.00,211.90,0.00,0.00,0.00,586.90,586.90,0.00
Esprit Sushi Fribourg,SamsungA40,231,20/03/2021 17:41,Propriétaire,20/03/2021 21:41,Propriétaire,742.10,239.90,0.00,0.00,0.00,982.00,982.00,0.00
Esprit Sushi Fribourg,SamsungA40,230,19/03/2021 18:03,Propriétaire,19/03/2021 21:39,Propriétaire,577.20,164.90,0.00,0.00,0.00,742.10,742.10,0.00
Esprit Sushi Fribourg,SamsungA40,229,18/03/2021 18:06,Propriétaire,19/03/2021 18:03,Propriétaire,471.70,105.50,0.00,0.00,0.00,577.20,577.20,0.00
Esprit Sushi Fribourg,SamsungA40,228,17/03/2021 18:06,Propriétaire,17/03/2021 21:46,Propriétaire,366.70,105.00,0.00,0.00,0.00,471.70,471.70,0.00
Esprit Sushi Fribourg,SamsungA40,227,16/03/2021 18:10,Propriétaire,16/03/2021 21:26,Propriétaire,316.20,49.00,0.00,0.00,0.00,365.20,365.20,0.00
Esprit Sushi Fribourg,Caisse principal 3,732,07/03/2021 14:48,Propriétaire,16/03/2021 16:45,Propriétaire,910.30,590.20,0.00,950.00,2075.50,375.00,375.00,0.00
Esprit Sushi Fribourg,SamsungA40,226,14/03/2021 23:48,Propriétaire,14/03/2021 23:48,Propriétaire,667.70,0.00,0.00,0.00,350.00,317.70,317.70,0.00
Esprit Sushi Fribourg,SamsungA40,225,14/03/2021 17:48,Propriétaire,14/03/2021 22:04,Propriétaire,493.20,174.50,0.00,0.00,0.00,667.70,667.70,0.00
Esprit Sushi Fribourg,SamsungA40,224,13/03/2021 18:21,Propriétaire,13/03/2021 22:27,Propriétaire,689.00,405.20,0.00,0.00,601.00,493.20,493.20,0.00
Esprit Sushi Fribourg,SamsungA40,223,12/03/2021 17:52,Propriétaire,12/03/2021 22:06,Propriétaire,606.10,82.90,0.00,0.00,0.00,689.00,689.00,0.00
Esprit Sushi Fribourg,SamsungA40,222,11/03/2021 17:34,Propriétaire,11/03/2021 21:29,Propriétaire,487.90,118.20,0.00,0.00,0.00,606.10,606.10,0.00
Esprit Sushi Fribourg,SamsungA40,221,10/03/2021 18:18,Propriétaire,10/03/2021 21:41,Propriétaire,457.95,30.00,0.00,0.00,0.00,487.95,487.95,0.00
Esprit Sushi Fribourg,SamsungA40,220,09/03/2021 15:47,Propriétaire,09/03/2021 21:49,Propriétaire,858.00,23.00,0.00,75.50,500.00,456.50,456.50,0.00
Esprit Sushi Fribourg,SamsungA40,219,07/03/2021 17:38,Propriétaire,07/03/2021 22:09,Propriétaire,639.00,219.00,0.00,0.00,0.00,858.00,858.00,0.00
Esprit Sushi Fribourg,Caisse principal 3,731,06/03/2021 17:26,Propriétaire,06/03/2021 22:44,Propriétaire,910.30,0.00,0.00,0.00,0.00,910.30,910.30,0.00
Esprit Sushi Fribourg,SamsungA40,218,06/03/2021 17:39,Propriétaire,06/03/2021 21:32,Propriétaire,529.50,109.50,0.00,0.00,0.00,639.00,639.00,0.00
Esprit Sushi Fribourg,Caisse principal 3,730,05/03/2021 15:36,Propriétaire,05/03/2021 23:06,Propriétaire,539.80,70.50,0.00,300.00,0.00,910.30,910.30,0.00
Esprit Sushi Fribourg,SamsungA40,217,05/03/2021 17:48,Propriétaire,05/03/2021 21:59,Propriétaire,783.60,45.90,0.00,0.00,300.00,529.50,529.50,0.00
Esprit Sushi Fribourg,Caisse principal 3,729,05/03/2021 15:36,Propriétaire,05/03/2021 15:36,Propriétaire,53.98,0.00,0.00,0.00,0.00,53.98,53.98,0.00
Esprit Sushi Fribourg,Caisse principal 3,728,04/03/2021 16:10,Propriétaire,05/03/2021 15:36,Propriétaire,517.80,22.00,0.00,0.00,0.00,539.80,539.80,0.00
Esprit Sushi Fribourg,SamsungA40,216,04/03/2021 17:59,Propriétaire,04/03/2021 21:30,Propriétaire,628.10,155.50,0.00,0.00,0.00,783.60,783.60,0.00
Esprit Sushi Fribourg,Caisse principal 3,727,02/03/2021 15:53,Propriétaire,03/03/2021 22:17,Propriétaire,333.30,184.50,0.00,0.00,0.00,517.80,517.80,0.00
Esprit Sushi Fribourg,SamsungA40,215,03/03/2021 18:00,Propriétaire,03/03/2021 21:41,Propriétaire,495.10,133.00,0.00,0.00,0.00,628.10,628.10,0.00
Esprit Sushi Fribourg,SamsungA40,214,02/03/2021 19:17,Propriétaire,02/03/2021 21:43,Propriétaire,370.20,124.90,0.00,0.00,0.00,495.10,495.10,0.00
Esprit Sushi Fribourg,SamsungA40,213,02/03/2021 18:05,Propriétaire,02/03/2021 18:08,Propriétaire,355.60,0.00,0.00,0.00,0.00,355.60,355.60,0.00
Esprit Sushi Fribourg,Caisse principal 3,726,21/02/2021 17:34,Propriétaire,28/02/2021 23:21,Propriétaire,1469.25,564.05,0.00,1200.00,2900.00,333.30,333.30,0.00
Esprit Sushi Fribourg,SamsungA40,212,28/02/2021 17:49,Propriétaire,28/02/2021 21:39,Propriétaire,632.20,138.00,0.00,0.00,400.00,370.20,370.20,0.00
Esprit Sushi Fribourg,SamsungA40,211,27/02/2021 17:47,Propriétaire,27/02/2021 22:37,Propriétaire,640.40,391.80,0.00,0.00,400.00,632.20,632.20,0.00
Esprit Sushi Fribourg,SamsungA40,210,26/02/2021 17:53,Propriétaire,26/02/2021 22:03,Propriétaire,316.10,324.30,0.00,0.00,0.00,640.40,640.40,0.00
Esprit Sushi Fribourg,SamsungA40,209,25/02/2021 17:34,Propriétaire,25/02/2021 21:31,Propriétaire,655.10,61.00,0.00,0.00,400.00,316.10,316.10,0.00
Esprit Sushi Fribourg,SamsungA40,208,23/02/2021 17:27,Propriétaire,24/02/2021 21:30,Propriétaire,559.20,295.90,0.00,0.00,200.00,655.10,655.10,0.00
Esprit Sushi Fribourg,SamsungA40,207,21/02/2021 17:37,Propriétaire,21/02/2021 21:10,Propriétaire,413.80,145.40,0.00,0.00,0.00,559.20,559.20,0.00
Esprit Sushi Fribourg,Caisse principal 3,725,20/02/2021 12:00,Propriétaire,20/02/2021 23:21,Propriétaire,818.35,210.90,0.00,440.00,0.00,1469.25,1469.25,0.00
Esprit Sushi Fribourg,SamsungA40,206,20/02/2021 17:50,Propriétaire,20/02/2021 22:18,Propriétaire,711.60,142.20,0.00,0.00,440.00,413.80,413.80,0.00
Esprit Sushi Fribourg,Caisse principal 3,724,19/02/2021 17:18,Propriétaire,19/02/2021 23:00,Propriétaire,715.95,102.40,0.00,0.00,0.00,818.35,818.35,0.00
